reference,businessName,category,area,publicPhone,recommendedChannel,state,valueAngle,initialDraft,followUpDraft,callOpener,commercialBoundary,previewUrl,researchUrl
"SITE-01","Restoran Hatinie","Food","Seksyen 10","+60172562825","WhatsApp draft","draft_only","Restoran Hatinie could use a focused one-page site to make the menu, location and table enquiry path easier to discover.","Hi, I’m Mak from NorthArc. I prepared an unofficial website concept for Restoran Hatinie based only on public information. It is designed to make the menu, location and table enquiry path easier to discover. May I send you the private preview for your feedback? There is no obligation.","Hi, just following up on the website concept prepared for Restoran Hatinie. If the direction is useful, I can revise the business details and imagery with you. The one-page site is RM600, excluding domain and hosting. Would a short 15-minute discussion be convenient?","Hi, may I speak with the person responsible for Restoran Hatinie? I’m Mak from NorthArc. I prepared a website concept to make the menu, location and table enquiry path easier to discover, and I would like permission to share it for feedback.","RM600 one-page website; domain and hosting excluded; changes scoped after owner review.","https://mdotak.github.io/shah-alam-local-30-preview/site.html?id=restoran-hatinie","https://www.burpple.com/restoran-hatinie"
"SITE-02","Restoran Azira","Food","Seksyen 10","+60126879699","WhatsApp draft","draft_only","Restoran Azira could use a focused one-page site to make the menu, location and table enquiry path easier to discover.","Hi, I’m Mak from NorthArc. I prepared an unofficial website concept for Restoran Azira based only on public information. It is designed to make the menu, location and table enquiry path easier to discover. May I send you the private preview for your feedback? There is no obligation.","Hi, just following up on the website concept prepared for Restoran Azira. If the direction is useful, I can revise the business details and imagery with you. The one-page site is RM600, excluding domain and hosting. Would a short 15-minute discussion be convenient?","Hi, may I speak with the person responsible for Restoran Azira? I’m Mak from NorthArc. I prepared a website concept to make the menu, location and table enquiry path easier to discover, and I would like permission to share it for feedback.","RM600 one-page website; domain and hosting excluded; changes scoped after owner review.","https://mdotak.github.io/shah-alam-local-30-preview/site.html?id=restoran-azira","https://www.waze.com/live-map/directions/restoran-azira-jalan-ceongsam-1011-shah-alam?to=place.w.66519071.665387316.4770782"
"SITE-03","Restoran Aidania","Food","Seksyen 7","+60355244736","Call script","draft_only","Restoran Aidania could use a focused one-page site to make the menu, location and table enquiry path easier to discover.","Hi, I’m Mak from NorthArc. I prepared an unofficial website concept for Restoran Aidania based only on public information. It is designed to make the menu, location and table enquiry path easier to discover. May I send you the private preview for your feedback? There is no obligation.","Hi, just following up on the website concept prepared for Restoran Aidania. If the direction is useful, I can revise the business details and imagery with you. The one-page site is RM600, excluding domain and hosting. Would a short 15-minute discussion be convenient?","Hi, may I speak with the person responsible for Restoran Aidania? I’m Mak from NorthArc. I prepared a website concept to make the menu, location and table enquiry path easier to discover, and I would like permission to share it for feedback.","RM600 one-page website; domain and hosting excluded; changes scoped after owner review.","https://mdotak.github.io/shah-alam-local-30-preview/site.html?id=restoran-aidania","https://my.worldorgs.com/katalog/shah-alam/restoran/restoranaidania"
"SITE-04","Alrawsha Restaurant","Food","Seksyen 7","+60355243584","Call script","draft_only","Alrawsha Restaurant could use a focused one-page site to make the menu, location and table enquiry path easier to discover.","Hi, I’m Mak from NorthArc. I prepared an unofficial website concept for Alrawsha Restaurant based only on public information. It is designed to make the menu, location and table enquiry path easier to discover. May I send you the private preview for your feedback? There is no obligation.","Hi, just following up on the website concept prepared for Alrawsha Restaurant. If the direction is useful, I can revise the business details and imagery with you. The one-page site is RM600, excluding domain and hosting. Would a short 15-minute discussion be convenient?","Hi, may I speak with the person responsible for Alrawsha Restaurant? I’m Mak from NorthArc. I prepared a website concept to make the menu, location and table enquiry path easier to discover, and I would like permission to share it for feedback.","RM600 one-page website; domain and hosting excluded; changes scoped after owner review.","https://mdotak.github.io/shah-alam-local-30-preview/site.html?id=alrawsha","https://my.worldorgs.com/katalog/shah-alam/restoran/alrawsha-restaurant"
"SITE-05","Nihonkai","Food","Kota Kemuning","+60351222186","Call script","draft_only","Nihonkai could use a focused one-page site to make the menu, location and table enquiry path easier to discover.","Hi, I’m Mak from NorthArc. I prepared an unofficial website concept for Nihonkai based only on public information. It is designed to make the menu, location and table enquiry path easier to discover. May I send you the private preview for your feedback? There is no obligation.","Hi, just following up on the website concept prepared for Nihonkai. If the direction is useful, I can revise the business details and imagery with you. The one-page site is RM600, excluding domain and hosting. Would a short 15-minute discussion be convenient?","Hi, may I speak with the person responsible for Nihonkai? I’m Mak from NorthArc. I prepared a website concept to make the menu, location and table enquiry path easier to discover, and I would like permission to share it for feedback.","RM600 one-page website; domain and hosting excluded; changes scoped after owner review.","https://mdotak.github.io/shah-alam-local-30-preview/site.html?id=nihonkai","https://my.worldorgs.com/katalog/shah-alam/restoran/nihonkai-japanese-restaurant"
"SITE-06","Bei Ping","Food","Seksyen 15","+60355199291","Call script","draft_only","Bei Ping could use a focused one-page site to make the menu, location and table enquiry path easier to discover.","Hi, I’m Mak from NorthArc. I prepared an unofficial website concept for Bei Ping based only on public information. It is designed to make the menu, location and table enquiry path easier to discover. May I send you the private preview for your feedback? There is no obligation.","Hi, just following up on the website concept prepared for Bei Ping. If the direction is useful, I can revise the business details and imagery with you. The one-page site is RM600, excluding domain and hosting. Would a short 15-minute discussion be convenient?","Hi, may I speak with the person responsible for Bei Ping? I’m Mak from NorthArc. I prepared a website concept to make the menu, location and table enquiry path easier to discover, and I would like permission to share it for feedback.","RM600 one-page website; domain and hosting excluded; changes scoped after owner review.","https://mdotak.github.io/shah-alam-local-30-preview/site.html?id=bei-ping","https://my.worldorgs.com/katalog/shah-alam/restoran-cina/bei-ping"
"SITE-07","Salai POWER","Food","Jalan Kebun","+60165352729","WhatsApp draft","draft_only","Salai POWER could use a focused one-page site to make the menu, location and table enquiry path easier to discover.","Hi, I’m Mak from NorthArc. I prepared an unofficial website concept for Salai POWER based only on public information. It is designed to make the menu, location and table enquiry path easier to discover. May I send you the private preview for your feedback? There is no obligation.","Hi, just following up on the website concept prepared for Salai POWER. If the direction is useful, I can revise the business details and imagery with you. The one-page site is RM600, excluding domain and hosting. Would a short 15-minute discussion be convenient?","Hi, may I speak with the person responsible for Salai POWER? I’m Mak from NorthArc. I prepared a website concept to make the menu, location and table enquiry path easier to discover, and I would like permission to share it for feedback.","RM600 one-page website; domain and hosting excluded; changes scoped after owner review.","https://mdotak.github.io/shah-alam-local-30-preview/site.html?id=salai-power","https://my.worldorgs.com/katalog/shah-alam/restoran/salaipowerrestaurant"
"SITE-08","Pine 38","Food","Seksyen 9","+60355108371","Call script","draft_only","Pine 38 could use a focused one-page site to make the menu, location and table enquiry path easier to discover.","Hi, I’m Mak from NorthArc. I prepared an unofficial website concept for Pine 38 based only on public information. It is designed to make the menu, location and table enquiry path easier to discover. May I send you the private preview for your feedback? There is no obligation.","Hi, just following up on the website concept prepared for Pine 38. If the direction is useful, I can revise the business details and imagery with you. The one-page site is RM600, excluding domain and hosting. Would a short 15-minute discussion be convenient?","Hi, may I speak with the person responsible for Pine 38? I’m Mak from NorthArc. I prepared a website concept to make the menu, location and table enquiry path easier to discover, and I would like permission to share it for feedback.","RM600 one-page website; domain and hosting excluded; changes scoped after owner review.","https://mdotak.github.io/shah-alam-local-30-preview/site.html?id=pine-38","https://my.worldorgs.com/katalog/shah-alam/kafe/pine38bistrorestaurant"
"SITE-09","Tomyam Rejab","Food","Seksyen 19","+601121757920","WhatsApp draft","draft_only","Tomyam Rejab could use a focused one-page site to make the menu, location and table enquiry path easier to discover.","Hi, I’m Mak from NorthArc. I prepared an unofficial website concept for Tomyam Rejab based only on public information. It is designed to make the menu, location and table enquiry path easier to discover. May I send you the private preview for your feedback? There is no obligation.","Hi, just following up on the website concept prepared for Tomyam Rejab. If the direction is useful, I can revise the business details and imagery with you. The one-page site is RM600, excluding domain and hosting. Would a short 15-minute discussion be convenient?","Hi, may I speak with the person responsible for Tomyam Rejab? I’m Mak from NorthArc. I prepared a website concept to make the menu, location and table enquiry path easier to discover, and I would like permission to share it for feedback.","RM600 one-page website; domain and hosting excluded; changes scoped after owner review.","https://mdotak.github.io/shah-alam-local-30-preview/site.html?id=tomyam-rejab","https://my.worldorgs.com/katalog/shah-alam/restoran/restoran-tomyam-rejab"
"SITE-10","KWF Subang Perdana","Food","Subang Perdana","+60173912504","WhatsApp draft","draft_only","KWF Subang Perdana could use a focused one-page site to make the menu, location and table enquiry path easier to discover.","Hi, I’m Mak from NorthArc. I prepared an unofficial website concept for KWF Subang Perdana based only on public information. It is designed to make the menu, location and table enquiry path easier to discover. May I send you the private preview for your feedback? There is no obligation.","Hi, just following up on the website concept prepared for KWF Subang Perdana. If the direction is useful, I can revise the business details and imagery with you. The one-page site is RM600, excluding domain and hosting. Would a short 15-minute discussion be convenient?","Hi, may I speak with the person responsible for KWF Subang Perdana? I’m Mak from NorthArc. I prepared a website concept to make the menu, location and table enquiry path easier to discover, and I would like permission to share it for feedback.","RM600 one-page website; domain and hosting excluded; changes scoped after owner review.","https://mdotak.github.io/shah-alam-local-30-preview/site.html?id=kwf-subang-perdana","https://my.worldorgs.com/katalog/shah-alam/restoran-barat/kwfsubangperdana"
